id,type,strike,expiry,oi,multiplier,iv,gamma,delta,bid,ask,volume,quoteAsOf,expiryVerified
DEMO:SPY:7:put:540,put,540,2026-09-11T20:00:00.000Z,6384,100,0.239,0.001911798085380428,-0.01453796618611956,0.09,0.11,272,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:545,call,545,2026-09-11T20:00:00.000Z,1632,100,0.211,0.002303879033966801,0.98414324856113,34.87,35.89,126,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:545,put,545,2026-09-11T20:00:00.000Z,1934,100,0.236,0.003259734992102553,-0.02686354402322214,0.19,0.21,104,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:550,call,550,2026-09-11T20:00:00.000Z,3028,100,0.20800000000000002,0.004145924750804414,0.9689493681362338,29.97,31.02,364,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:550,put,550,2026-09-11T20:00:00.000Z,4727,100,0.23299999999999998,0.005247475682766981,-0.047293440670955963,0.36,0.38,252,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:555,call,555,2026-09-11T20:00:00.000Z,1693,100,0.20500000000000002,0.006939562527089557,0.9425398011318615,25.4,26.01,136,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:555,put,555,2026-09-11T20:00:00.000Z,13997,100,0.22999999999999998,0.007953454218477617,-0.07923838018830504,0.66,0.69,1986,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:560,call,560,2026-09-11T20:00:00.000Z,5584,100,0.202,0.010757251387532842,0.8999039823372327,20.75,21.4,753,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:560,put,560,2026-09-11T20:00:00.000Z,6810,100,0.227,0.011316172533479397,-0.12622639448449052,1.15,1.18,1036,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:565,call,565,2026-09-11T20:00:00.000Z,1370,100,0.199,0.015369248498763172,0.8362595671759041,16.49,16.93,108,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:565,put,565,2026-09-11T20:00:00.000Z,12907,100,0.224,0.015064888785058206,-0.19104275708550753,1.88,1.98,1287,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:570,call,570,2026-09-11T20:00:00.000Z,8289,100,0.196,0.020132856853439383,0.7488452327612625,12.57,12.85,53,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:570,put,570,2026-09-11T20:00:00.000Z,4913,100,0.221,0.018698732811484278,-0.2746106507430279,3.02,3.11,247,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:575,call,575,2026-09-11T20:00:00.000Z,6014,100,0.193,0.024041113730364307,0.6389704321823124,8.99,9.41,455,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:575,put,575,2026-09-11T20:00:00.000Z,6337,100,0.218,0.021555485370054653,-0.37494876433068774,4.57,4.73,747,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:580,call,580,2026-09-11T20:00:00.000Z,2647,100,0.19,0.026004470686784704,0.5133282007742601,6.14,6.4,151,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:580,put,580,2026-09-11T20:00:00.000Z,5124,100,0.215,0.02298118986759788,-0.48669669263479687,6.65,6.88,69,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:585,call,585,2026-09-11T20:00:00.000Z,6473,100,0.193,0.024587444157579054,0.38729997955461587,4.07,4.27,307,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:585,put,585,2026-09-11T20:00:00.000Z,5367,100,0.218,0.02197941718999159,-0.5985817513100414,9.42,9.85,322,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:590,call,590,2026-09-11T20:00:00.000Z,2609,100,0.196,0.02114976314880377,0.27636111219892806,2.63,2.69,93,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:590,put,590,2026-09-11T20:00:00.000Z,6844,100,0.221,0.019509354277420777,-0.6993768264449419,12.79,13.26,681,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:595,call,595,2026-09-11T20:00:00.000Z,12447,100,0.199,0.01673334508502274,0.18696047630795137,1.6,1.65,1359,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:595,put,595,2026-09-11T20:00:00.000Z,3995,100,0.224,0.01619871072719403,-0.784027723816745,16.57,17.16,51,2026-09-04T18:30:00.000Z,true
